label:v(.5)
201
0	-65
0.025	-57.6241
0.05	-50.3648
0.075	-43.212
0.1	-36.1461
0.125	-36.4795
0.15	-36.6674
0.175	-36.6666
0.2	-36.4364
0.225	-35.9375
0.25	-35.1309
0.275	-33.9749
0.3	-32.4229
0.325	-30.4206
0.35	-27.9039
0.375	-24.7985
0.4	-21.0232
0.425	-16.4988
0.45	-11.1693
0.475	-5.03748
0.5	1.78531
0.525	9.03204
0.55	16.2765
0.575	23.0074
0.6	28.7711
0.625	33.3043
0.65	36.5783
0.675	38.7449
0.7	40.0388
0.725	40.6951
0.75	40.9065
0.775	40.8127
0.8	40.5075
0.825	40.051
0.85	39.481
0.875	38.821
0.9	38.0862
0.925	37.2869
0.95	36.4303
0.975	35.5221
1	34.5668
1.025	33.5686
1.05	32.5311
1.075	31.4577
1.1	30.3518
1.125	29.2164
1.15	28.0544
1.175	26.8689
1.2	25.6623
1.225	24.4375
1.25	23.1967
1.275	21.9425
1.3	20.6768
1.325	19.4019
1.35	18.1197
1.375	16.8319
1.4	15.5402
1.425	14.2462
1.45	12.9512
1.475	11.6566
1.5	10.3635
1.525	9.07292
1.55	7.7859
1.575	6.50324
1.6	5.22568
1.625	3.9539
1.65	2.68847
1.675	1.42987
1.7	0.178499
1.725	-1.06527
1.75	-2.30115
1.775	-3.52897
1.8	-4.74856
1.825	-5.95979
1.85	-7.16258
1.875	-8.35697
1.9	-9.543
1.925	-10.7208
1.95	-11.8904
1.975	-13.0519
2	-14.2056
2.025	-15.3518
2.05	-16.4908
2.075	-17.6229
2.1	-18.7485
2.125	-19.868
2.15	-20.982
2.175	-22.091
2.2	-23.1958
2.225	-24.2972
2.25	-25.396
2.275	-26.4932
2.3	-27.59
2.325	-28.6875
2.35	-29.7872
2.375	-30.8905
2.4	-31.9992
2.425	-33.1152
2.45	-34.2406
2.475	-35.3778
2.5	-36.5293
2.525	-37.6977
2.55	-38.886
2.575	-40.0972
2.6	-41.3343
2.625	-42.6008
2.65	-43.8998
2.675	-45.2344
2.7	-46.6075
2.725	-48.0213
2.75	-49.4775
2.775	-50.9764
2.8	-52.5172
2.825	-54.0966
2.85	-55.7092
2.875	-57.3467
2.9	-58.9975
2.925	-60.6467
2.95	-62.2761
2.975	-63.8653
3	-65.3925
3.025	-66.8365
3.05	-68.178
3.075	-69.4022
3.1	-70.4992
3.125	-71.465
3.15	-72.3014
3.175	-73.015
3.2	-73.6158
3.225	-74.1157
3.25	-74.5277
3.275	-74.8646
3.3	-75.1382
3.325	-75.3591
3.35	-75.5367
3.375	-75.6788
3.4	-75.7922
3.425	-75.8822
3.45	-75.9533
3.475	-76.0091
3.5	-76.0527
3.525	-76.0864
3.55	-76.112
3.575	-76.1311
3.6	-76.145
3.625	-76.1545
3.65	-76.1606
3.675	-76.1639
3.7	-76.1648
3.725	-76.1638
3.75	-76.1613
3.775	-76.1574
3.8	-76.1525
3.825	-76.1466
3.85	-76.14
3.875	-76.1327
3.9	-76.1249
3.925	-76.1166
3.95	-76.1078
3.975	-76.0988
4	-76.0894
4.025	-76.0797
4.05	-76.0698
4.075	-76.0596
4.1	-76.0493
4.125	-76.0388
4.15	-76.028
4.175	-76.0172
4.2	-76.0061
4.225	-75.9949
4.25	-75.9836
4.275	-75.9722
4.3	-75.9606
4.325	-75.9488
4.35	-75.937
4.375	-75.925
4.4	-75.9129
4.425	-75.9007
4.45	-75.8884
4.475	-75.8759
4.5	-75.8634
4.525	-75.8507
4.55	-75.8379
4.575	-75.825
4.6	-75.812
4.625	-75.7988
4.65	-75.7856
4.675	-75.7722
4.7	-75.7587
4.725	-75.7451
4.75	-75.7314
4.775	-75.7176
4.8	-75.7037
4.825	-75.6896
4.85	-75.6755
4.875	-75.6612
4.9	-75.6468
4.925	-75.6323
4.95	-75.6177
4.975	-75.6029
5	-75.5881
